Tm,BatAge,G,Wins,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,HBP,WAR,Salary
ARI,28.7,162,85,6315,5633,813,1419,288,40,220,778,88,14,540,1360,0.252,0.323,0.434,0.757,70,25.2,119116666.00
ATL,28,162,97,6302,5560,855,1432,277,29,249,824,89,28,619,1467,0.258,0.336,0.452,0.789,60,23.4,130561667.00
BAL,26.5,162,54,6189,5596,729,1379,252,25,213,698,84,30,462,1435,0.246,0.31,0.415,0.725,71,10.8,82696100.00
BOS,27.3,162,84,6475,5770,901,1554,345,27,245,857,68,30,590,1382,0.269,0.34,0.466,0.806,49,24.6,207205000.00
CHC,27.7,162,84,6195,5461,814,1378,270,26,256,783,45,24,581,1460,0.252,0.331,0.452,0.783,83,21,204630215.00
CHW,27.6,161,72,6042,5529,708,1443,260,20,182,676,63,28,378,1549,0.261,0.314,0.414,0.728,66,13.5,79991333.00
CIN,27.8,162,75,6100,5450,701,1328,235,27,227,679,80,38,492,1436,0.244,0.315,0.422,0.736,89,11.9,109737499.00
CLE,27.7,162,93,6124,5425,769,1354,286,18,223,731,103,35,563,1332,0.25,0.323,0.432,0.756,50,21.4,121390783.00
COL,28.2,162,71,6288,5660,835,1502,323,41,224,803,71,31,489,1503,0.265,0.326,0.456,0.782,43,11,145148500.00
DET,27.6,161,47,6039,5549,582,1333,292,41,149,556,57,20,391,1595,0.24,0.294,0.388,0.682,48,-3.2,97818500.00
HOU,29,162,107,6394,5613,920,1538,323,28,288,891,67,27,645,1166,0.274,0.352,0.495,0.848,66,41.6,161942500.00
KCR,27.6,162,59,6080,5496,691,1356,281,40,162,655,117,39,456,1405,0.247,0.309,0.401,0.71,59,11,86327892.00
LAA,28.8,162,72,6251,5542,769,1368,268,21,220,734,65,20,586,1276,0.247,0.324,0.422,0.746,67,21.1,177245250.00
LAD,27.9,162,106,6282,5493,886,1414,302,20,279,861,57,10,607,1356,0.257,0.338,0.472,0.81,81,37.9,166203333.00
MIA,28.4,162,57,6045,5512,615,1326,265,18,146,593,55,30,395,1469,0.241,0.298,0.375,0.673,73,2.8,69583643.00
MIL,28.9,162,89,6309,5542,769,1366,279,17,250,744,101,25,629,1563,0.246,0.329,0.438,0.767,72,21.5,120934500.00
MIN,27.8,162,101,6392,5732,939,1547,318,23,307,906,28,21,525,1334,0.27,0.338,0.494,0.832,81,34.2,104498333.00
NYM,27.9,162,86,6290,5624,791,1445,280,17,242,767,56,27,516,1384,0.257,0.328,0.442,0.77,95,20.2,115979730.00
NYY,28.3,162,103,6245,5583,943,1493,290,17,306,904,55,22,569,1437,0.267,0.339,0.49,0.829,49,36.3,205999564.00
OAK,27.8,162,97,6269,5561,845,1384,292,23,257,800,49,21,578,1338,0.249,0.327,0.448,0.776,87,32.8,101610833.00
PHI,27.7,162,81,6261,5571,774,1369,311,26,215,742,78,18,562,1453,0.246,0.319,0.427,0.746,57,18.4,141686962.00
PIT,27.5,162,69,6228,5657,758,1497,315,38,163,722,64,29,425,1213,0.265,0.321,0.42,0.741,63,12,67856001.00
SDP,26.2,162,70,6019,5391,682,1281,224,24,219,652,70,37,504,1581,0.238,0.308,0.41,0.718,55,12.6,74081300.00
SEA,27.8,162,68,6199,5500,758,1305,254,28,239,730,115,47,588,1581,0.237,0.316,0.424,0.74,58,15.7,126574600.00
SFG,29.9,162,77,6170,5579,678,1332,300,26,167,655,47,28,475,1435,0.239,0.302,0.392,0.694,50,11.4,175450753.00
STL,28.8,162,91,6167,5449,764,1336,246,24,210,714,116,29,561,1420,0.245,0.322,0.415,0.737,76,24,152815167.00
TBR,27.2,162,96,6285,5628,769,1427,291,29,217,730,94,37,542,1493,0.254,0.325,0.431,0.757,73,27.1,55971767.00
TEX,28.8,162,78,6204,5540,810,1374,296,24,223,765,131,38,534,1578,0.248,0.319,0.431,0.75,67,10.8,100777499.00
TOR,25.9,162,67,6091,5493,726,1299,270,21,247,697,51,20,509,1514,0.236,0.305,0.428,0.733,45,13.5,61992871.00
WSN,28.8,162,93,6267,5512,873,1460,298,27,231,824,116,29,584,1308,0.265,0.342,0.454,0.796,81,22.4,201239733.00
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
